stage1_candidate_id,master_seed,S,min_on_time_prob,binding_batch,binding_batch_set,chance_vio_total,chance_constraint_pass,max_late_excess_h,maxlate_screen_pass,miss_alloc,miss_tt,cap_excess,border_cap_excess,nonccp_hard_pass,feasible_hard,obj_cost,obj_emission_gCO2,obj_time_h,penalty,binding_batches
S1-10,700001,100,0.94,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6746063.238133639,8134627364.78,379.3552482819046,0.0,16
S1-01,700001,200,0.915,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7086144.072303417,7155341549.26,432.1360701322061,0.0,2
S1-02,700001,200,0.915,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6644648.157170096,7088706227.360001,457.18780417166306,0.0,2
S1-03,700001,200,0.915,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6812080.529898826,7887089349.070001,392.29794394339865,0.0,2
S1-04,700001,200,0.955,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6889135.969397937,8345740271.040001,387.0190181710899,0.0,17
S1-05,700001,200,0.915,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6846599.80378644,8013513563.38,390.80017459464545,0.0,2
S1-06,700001,200,0.915,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6747251.34525712,8096246576.780001,390.80017459464545,0.0,2
S1-07,700001,200,0.935,8,8,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7055306.784660143,8219219881.48,463.00833429679795,0.0,8
S1-08,700001,200,0.955,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7114893.839166618,9044968863.32,387.0825122573405,0.0,2
S1-09,700001,200,0.955,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7104537.693589504,8344498311.79,408.1611980483606,0.0,2
S1-10,700001,200,0.96,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6744999.29106849,8134627364.78,379.3538575448192,0.0,16
S1-01,700002,50,0.88,2,2,0.020000000000000018,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6940712.63010345,7155341549.26,431.4910076295046,20000000.00000002,2
S1-02,700002,50,0.88,2,2,0.020000000000000018,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6628301.93226,7088706227.360001,441.4964334389287,20000000.00000002,2
S1-03,700002,50,0.88,2,2,0.020000000000000018,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6814017.729618191,7887089349.070001,386.9228590417271,20000000.00000002,2
S1-04,700002,50,0.94,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6885640.937316536,8345740271.040001,386.9228590417271,0.0,17
S1-05,700002,50,0.88,2,2,0.020000000000000018,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6921803.834151782,8013513563.38,382.4482130764014,20000000.00000002,2
S1-06,700002,50,0.88,2,2,0.020000000000000018,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6823599.162232073,8096246576.780001,382.4482130764014,20000000.00000002,2
S1-07,700002,50,0.92,8,8,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7064788.486369733,8219219881.48,464.9657606776733,0.0,8
S1-08,700002,50,0.94,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7112878.825442764,9044968863.32,386.9228590417271,0.0,2
S1-09,700002,50,0.92,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7102667.174175157,8344498311.79,408.8828436272958,0.0,2
S1-10,700002,50,0.96,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6742998.573495836,8134627364.78,374.14093256174806,0.0,16
S1-01,700002,100,0.86,2,2,0.040000000000000036,False,0.0,True,0.0,0.0,0.0,0.0,True,False,7044833.646921864,7155341549.26,431.80773713559074,40000000.00000004,2
S1-02,700002,100,0.86,2,2,0.040000000000000036,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6749792.562516257,7088706227.360001,441.4964334389287,40000000.00000004,2
S1-03,700002,100,0.86,2,2,0.040000000000000036,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6947638.313675742,7887089349.070001,401.05962543283687,40000000.00000004,2
S1-04,700002,100,0.91,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6899358.486438322,8345740271.040001,393.4993074448357,0.0,17
S1-05,700002,100,0.86,2,2,0.040000000000000036,False,0.0,True,0.0,0.0,0.0,0.0,True,False,7002657.460685822,8013513563.38,396.4579789924693,40000000.00000004,2
S1-06,700002,100,0.86,2,2,0.040000000000000036,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6902749.498181217,8096246576.780001,396.4579789924693,40000000.00000004,2
S1-07,700002,100,0.9,8,8,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7276894.260144942,8219219881.48,467.2424530941101,0.0,8
S1-08,700002,100,0.93,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7116767.744626697,9044968863.32,391.30720846610467,0.0,2
S1-09,700002,100,0.94,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7102667.174175157,8344498311.79,411.0093009156809,0.0,2
S1-10,700002,100,0.97,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6743975.914418212,8134627364.78,381.3435282886641,0.0,16
S1-01,700002,200,0.85,2,2,0.05500000000000005,False,0.0,True,0.0,0.0,0.0,0.0,True,False,7078698.542126926,7155341549.26,459.7936554448694,55000000.00000005,2
S1-02,700002,200,0.85,2,2,0.050000000000000044,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6749792.562516257,7088706227.360001,441.4964334389287,50000000.000000045,2
S1-03,700002,200,0.85,2,2,0.050000000000000044,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6947638.313675742,7887089349.070001,401.05962543283687,50000000.000000045,2
S1-04,700002,200,0.935,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6898251.404079148,8345740271.040001,393.4993074448357,0.0,17
S1-05,700002,200,0.85,2,2,0.050000000000000044,False,0.0,True,0.0,0.0,0.0,0.0,True,False,7019976.069433082,8013513563.38,396.4579789924693,50000000.000000045,2
S1-06,700002,200,0.85,2,2,0.050000000000000044,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6923419.344433224,8096246576.780001,396.4579789924693,50000000.000000045,2
S1-07,700002,200,0.905,8,8,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7205868.757002302,8219219881.48,467.2424530941101,0.0,8
S1-08,700002,200,0.92,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7213970.588491891,9044968863.32,395.4576309642839,0.0,2
S1-09,700002,200,0.935,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7108065.3191079,8344498311.79,411.1634052873581,0.0,2
S1-10,700002,200,0.96,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6747820.74986028,8134627364.78,387.4803472749601,0.0,16
S1-01,700003,50,0.9,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6725340.508893203,7155341549.26,403.980060556129,0.0,17
S1-02,700003,50,0.9,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6509746.631819761,7088706227.360001,403.9413658388311,0.0,17
S1-03,700003,50,0.9,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6751741.384898067,7887089349.070001,387.07969175930515,0.0,17
S1-04,700003,50,0.9,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6890002.647517519,8345740271.040001,387.0617443904595,0.0,17
S1-05,700003,50,0.96,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6837080.868077538,8013513563.38,348.85493268449517,0.0,2
S1-06,700003,50,0.96,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6736920.052652997,8096246576.780001,348.85493268449517,0.0,2
S1-07,700003,50,0.94,8,8,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6969249.136090474,8219219881.48,410.44277147873805,0.0,8
S1-08,700003,50,0.98,2,"2,5,17",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7113953.125278535,9044968863.32,386.79146282933516,0.0,2|5|17
S1-09,700003,50,0.98,1,"1,2,5,17",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7101331.742867001,8344498311.79,387.0617443904595,0.0,1|2|5|17
S1-10,700003,50,0.98,5,5,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6739536.843143248,8134627364.78,348.85493268449517,0.0,5
S1-01,700003,100,0.86,17,17,0.040000000000000036,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6945474.812676043,7155341549.26,418.87744226421876,40000000.00000004,17
S1-02,700003,100,0.86,17,17,0.040000000000000036,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6664311.498604666,7088706227.360001,420.4950175827905,40000000.00000004,17
S1-03,700003,100,0.87,17,17,0.030000000000000027,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6815489.977061734,7887089349.070001,392.5817466432256,30000000.000000026,17
S1-04,700003,100,0.87,17,17,0.030000000000000027,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6926984.721960286,8345740271.040001,392.5817466432256,30000000.000000026,17
S1-05,700003,100,0.92,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6843064.154533885,8013513563.38,382.2639897288591,0.0,2
S1-06,700003,100,0.92,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6743380.81504583,8096246576.780001,382.2639897288591,0.0,2
S1-07,700003,100,0.94,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7269947.490971392,8219219881.48,415.14778554165696,0.0,2
S1-08,700003,100,0.94,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7120325.4894013945,9044968863.32,387.08433669403246,0.0,2
S1-09,700003,100,0.96,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7103380.114635936,8344498311.79,408.2110899442534,0.0,2
S1-10,700003,100,0.97,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6743673.541271055,8134627364.78,367.6495276455421,0.0,16
S1-01,700003,200,0.905,2,"2,17",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6957397.374091172,7155341549.26,431.9917504029569,0.0,2|17
S1-02,700003,200,0.905,2,"2,17",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6715549.322947003,7088706227.360001,452.9463902906044,0.0,2|17
S1-03,700003,200,0.905,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6871426.088806476,7887089349.070001,393.7408205706905,0.0,2
S1-04,700003,200,0.91,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6907141.890383295,8345740271.040001,393.7408205706905,0.0,17
S1-05,700003,200,0.905,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6859837.357543683,8013513563.38,387.3629658416212,0.0,2
S1-06,700003,200,0.905,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6762155.696356861,8096246576.780001,387.3629658416212,0.0,2
S1-07,700003,200,0.93,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7206311.20807511,8219219881.48,459.6553488338367,0.0,2
S1-08,700003,200,0.93,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7123161.871051746,9044968863.32,390.25050589627136,0.0,2
S1-09,700003,200,0.94,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7108424.966434306,8344498311.79,409.88174827262867,0.0,2
S1-10,700003,200,0.965,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6745019.951818569,8134627364.78,382.2639897288591,0.0,16
S1-01,700004,50,0.86,2,2,0.06000000000000005,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6972212.435970575,7155341549.26,431.6083237658054,60000000.00000005,2
S1-02,700004,50,0.86,2,2,0.040000000000000036,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6657101.082381675,7088706227.360001,412.7774843670602,40000000.00000004,2
S1-03,700004,50,0.86,2,2,0.040000000000000036,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6847942.282758526,7887089349.070001,385.05655668339017,40000000.00000004,2
S1-04,700004,50,0.96,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6879076.792825631,8345740271.040001,381.58525841111094,0.0,17
S1-05,700004,50,0.86,2,2,0.040000000000000036,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6956085.588117082,8013513563.38,385.05655668339017,40000000.00000004,2
S1-06,700004,50,0.86,2,2,0.040000000000000036,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6857970.337384125,8096246576.780001,385.05655668339017,40000000.00000004,2
S1-07,700004,50,0.94,8,8,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6968159.716447563,8219219881.48,412.5937049356919,0.0,8
S1-08,700004,50,0.98,2,"2,16",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7110633.713118405,9044968863.32,378.2707311789941,0.0,2|16
S1-09,700004,50,0.98,2,"2,8,11,16",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7097517.706237325,8344498311.79,410.5078049911478,0.0,2|8|11|16
S1-10,700004,50,0.98,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6743952.954005767,8134627364.78,381.2748980751494,0.0,16
S1-01,700004,100,0.88,2,2,0.020000000000000018,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6954586.943944457,7155341549.26,431.437425061419,20000000.00000002,2
S1-02,700004,100,0.88,2,2,0.020000000000000018,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6662721.050157062,7088706227.360001,422.53105544454644,20000000.00000002,2
S1-03,700004,100,0.88,2,2,0.020000000000000018,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6846976.569545617,7887089349.070001,388.28922475555385,20000000.00000002,2
S1-04,700004,100,0.95,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6884597.339464113,8345740271.040001,387.07935853107233,0.0,17
S1-05,700004,100,0.88,2,2,0.020000000000000018,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6954489.63340024,8013513563.38,384.9508383549197,20000000.00000002,2
S1-06,700004,100,0.88,2,2,0.020000000000000018,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6857183.595445697,8096246576.780001,384.9508383549197,20000000.00000002,2
S1-07,700004,100,0.94,8,8,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6971373.687771164,8219219881.48,413.3356916916942,0.0,8
S1-08,700004,100,0.97,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7110633.713118405,9044968863.32,387.00440365004926,0.0,2
S1-09,700004,100,0.98,2,"2,8,11,16",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7098898.464030618,8344498311.79,410.19957343221637,0.0,2|8|11|16
S1-10,700004,100,0.98,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6743952.954005767,8134627364.78,381.58525841111094,0.0,16
S1-01,700004,200,0.895,2,2,0.0050000000000000044,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6952406.761876137,7155341549.26,431.60278378227656,5000000.000000005,2
S1-02,700004,200,0.895,2,2,0.0050000000000000044,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6648019.237430044,7088706227.360001,422.97812304373224,5000000.000000005,2
S1-03,700004,200,0.9,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6795496.888465212,7887089349.070001,387.24255859025004,0.0,2
S1-04,700004,200,0.95,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6880814.4265117515,8345740271.040001,387.0189725129239,0.0,17
S1-05,700004,200,0.9,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6896344.621325548,8013513563.38,384.348350503192,0.0,2
S1-06,700004,200,0.9,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6800065.516168273,8096246576.780001,384.348350503192,0.0,2
S1-07,700004,200,0.915,8,8,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7068092.6298132595,8219219881.48,464.6537218158552,0.0,8
S1-08,700004,200,0.955,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7111742.768857424,9044968863.32,387.0189725129239,0.0,2
S1-09,700004,200,0.965,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7101179.525689642,8344498311.79,410.1116707329199,0.0,2
S1-10,700004,200,0.98,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6743650.766557176,8134627364.78,380.91442959902764,0.0,16
S1-01,700005,50,0.88,17,17,0.020000000000000018,False,0.0,True,0.0,0.0,0.0,0.0,True,False,7084183.349447015,7155341549.26,464.47972509776343,20000000.00000002,17
S1-02,700005,50,0.88,17,17,0.020000000000000018,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6753697.754983041,7088706227.360001,456.717820307312,20000000.00000002,17
S1-03,700005,50,0.88,17,17,0.020000000000000018,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6862299.151159072,7887089349.070001,393.90057587090456,20000000.00000002,17
S1-04,700005,50,0.88,17,17,0.020000000000000018,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6919655.204931952,8345740271.040001,393.3825361616356,20000000.00000002,17
S1-05,700005,50,0.9,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6972155.70391437,8013513563.38,393.90057587090456,0.0,2
S1-06,700005,50,0.9,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6873555.423967171,8096246576.780001,393.90057587090456,0.0,2
S1-07,700005,50,0.88,8,8,0.020000000000000018,False,0.0,True,0.0,0.0,0.0,0.0,True,False,7297464.519778392,8219219881.48,506.2949214788993,20000000.00000002,8
S1-08,700005,50,0.92,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7186597.353005865,9044968863.32,397.3278307236045,0.0,2
S1-09,700005,50,0.94,2,"2,8,11,16",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7110247.375142775,8344498311.79,410.85560245937205,0.0,2|8|11|16
S1-10,700005,50,0.94,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6755466.534523203,8134627364.78,393.44525302591035,0.0,16
S1-01,700005,100,0.89,17,17,0.010000000000000009,False,2.6015883771946164,False,0.0,0.0,0.0,0.0,True,False,7084183.349447015,7155341549.26,432.2775427247701,2611588377.1946163,17
S1-02,700005,100,0.89,17,17,0.010000000000000009,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6729484.075224342,7088706227.360001,443.2056851708757,10000000.00000001,17
S1-03,700005,100,0.89,17,17,0.010000000000000009,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6890150.856187289,7887089349.070001,393.90057587090456,10000000.00000001,17
S1-04,700005,100,0.89,17,17,0.010000000000000009,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6919655.204931952,8345740271.040001,397.2073465290897,10000000.00000001,17
S1-05,700005,100,0.9,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6977371.745158629,8013513563.38,393.90057587090456,0.0,2
S1-06,700005,100,0.9,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6876940.297554142,8096246576.780001,393.90057587090456,0.0,2
S1-07,700005,100,0.91,8,8,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7293770.859597129,8219219881.48,470.7501479111821,0.0,8
S1-08,700005,100,0.94,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7171884.118406413,9044968863.32,397.3278307236045,0.0,2
S1-09,700005,100,0.96,2,"2,5,17",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7110247.375142775,8344498311.79,411.33733599000294,0.0,2|5|17
S1-10,700005,100,0.97,5,"5,16",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6747418.998831377,8134627364.78,393.44525302591035,0.0,5|16
S1-01,700005,200,0.895,2,2,0.0050000000000000044,False,2.6015883771946164,False,0.0,0.0,0.0,0.0,True,False,7084183.349447015,7155341549.26,432.13222791691044,2606588377.1946163,2
S1-02,700005,200,0.895,2,2,0.0050000000000000044,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6725692.008698444,7088706227.360001,419.34414710752895,5000000.000000005,2
S1-03,700005,200,0.895,2,2,0.0050000000000000044,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6898583.214052499,7887089349.070001,395.87257441484667,5000000.000000005,2
S1-04,700005,200,0.905,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6919655.204931952,8345740271.040001,400.8157786784014,0.0,17
S1-05,700005,200,0.895,2,2,0.0050000000000000044,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6995326.8056744095,8013513563.38,394.22027422716167,5000000.000000005,2
S1-06,700005,200,0.895,2,2,0.0050000000000000044,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6895093.190843286,8096246576.780001,394.22027422716167,5000000.000000005,2
S1-07,700005,200,0.91,8,8,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7244520.96528491,8219219881.48,467.9127704868056,0.0,8
S1-08,700005,200,0.93,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7138346.968594104,9044968863.32,396.2932035318197,0.0,2
S1-09,700005,200,0.945,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7108704.113068493,8344498311.79,410.7382618827512,0.0,2
S1-10,700005,200,0.965,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6747329.521850205,8134627364.78,391.91687053256834,0.0,16
S1-01,700006,50,0.92,2,"2,12,17,20",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6978721.780592524,7155341549.26,432.29159597735537,0.0,2|12|17|20
S1-02,700006,50,0.92,2,"2,17,20",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6715536.654844312,7088706227.360001,460.4696151880062,0.0,2|17|20
S1-03,700006,50,0.92,2,"2,17",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6857049.067793898,7887089349.070001,391.27722078864934,0.0,2|17
S1-04,700006,50,0.92,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6913042.627261347,8345740271.040001,389.4973569945513,0.0,17
S1-05,700006,50,0.92,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6848990.141614484,8013513563.38,385.76335857674866,0.0,2
S1-06,700006,50,0.92,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6747503.019527432,8096246576.780001,385.76335857674866,0.0,2
S1-07,700006,50,0.9,8,8,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7113223.7150041135,8219219881.48,465.8472219087027,0.0,8
S1-08,700006,50,0.94,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7120198.836455089,9044968863.32,388.14669159369157,0.0,2
S1-09,700006,50,0.94,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7113857.103023862,8344498311.79,409.95496482809983,0.0,2
S1-10,700006,50,0.96,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6748121.213035923,8134627364.78,382.6664685199092,0.0,16
S1-01,700006,100,0.93,2,"2,12",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6958211.09118768,7155341549.26,432.22702005642526,0.0,2|12
S1-02,700006,100,0.93,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6532912.091715894,7088706227.360001,424.50475494860257,0.0,2
S1-03,700006,100,0.93,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6763280.210767162,7887089349.070001,389.4973569945513,0.0,2
S1-04,700006,100,0.95,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6888082.005071869,8345740271.040001,387.20415357420745,0.0,17
